date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:08	193352/193352	---M--	200	added ('OK')	application/font-woff	etag:%222f348-58232f70c64e3%22	https://caacongo.com/fonts/icomoon/icomoon.woff?srf3rx	D:/Mes%20Projets/web/caa/caacongo.com/fonts/icomoon/icomoona57c.woff	(from https://caacongo.com/css/style.css)
11:04:09	4659/4659	---M--	200	added ('OK')	image/png	etag:%221233-58232fdc531ae%22	https://caacongo.com/images/customer-service.png	D:/Mes%20Projets/web/caa/caacongo.com/images/customer-service.png	(from https://caacongo.com/css/style.css)
11:04:12	20232/20232	---M--	200	added ('OK')	image/gif	etag:%224f08-594520eda0bab%22	https://caacongo.com/images/kisangani-reprise.gif	D:/Mes%20Projets/web/caa/caacongo.com/images/kisangani-reprise.gif	(from https://caacongo.com/css/canvas.css)
11:04:28	48068/48068	---M--	200	added ('OK')	image/gif	etag:%22bbc4-58232f603bfe1%22	https://caacongo.com/images/loader.gif	D:/Mes%20Projets/web/caa/caacongo.com/images/loader.gif	(from https://caacongo.com/css/style.css)
11:05:38	171462/171462	---M--	200	added ('OK')	image/jpeg	etag:%2229dc6-58232f5b06071%22	https://caacongo.com/images/dircom.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/dircom.jpg	(from https://caacongo.com/contacts.html)
11:06:15	632126/632126	---M--	200	added ('OK')	image/svg+xml	etag:%229a53e-58232f746700b%22	https://caacongo.com/fonts/icomoon/icomoon.svg?srf3rx	D:/Mes%20Projets/web/caa/caacongo.com/fonts/icomoon/icomoona57c.svg	(from https://caacongo.com/css/style.css)
11:06:15	193244/193244	---M--	200	added ('OK')	image/jpeg	etag:%222f2dc-58232f650e597%22	https://caacongo.com/images/equateur.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/equateur.jpg	(from https://caacongo.com/contacts.html)
11:06:28	17518/17518	---M--	200	added ('OK')	image/png	etag:%22446e-594520ec6d1dc%22	https://caacongo.com/images/horizons.png	D:/Mes%20Projets/web/caa/caacongo.com/images/horizons.png	(from https://caacongo.com/membres.html)
11:06:59	182525/182525	---M--	200	added ('OK')	image/jpeg	etag:%222c8fd-58232f6347472%22	https://caacongo.com/images/matonge.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/matonge.jpg	(from https://caacongo.com/contacts.html)
11:07:25	102277/102277	---M--	200	added ('OK')	image/jpeg	etag:%2218f85-594520ec942da%22	https://caacongo.com/images/room-2.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-2.jpg	(from https://caacongo.com/membres.html)
11:07:31	280927/280927	---M--	200	added ('OK')	image/jpeg	etag:%224495f-594520ed6fe6d%22	https://caacongo.com/images/img_bg_1h.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/img_bg_1h.jpg	(from https://caacongo.com/membres.html)
11:07:37	15594/15594	---M-Z	200	added ('OK')	text/html	etag:%223cea-59451f3b077c3-gzip%22	https://caacongo.com/statuts.html	D:/Mes%20Projets/web/caa/caacongo.com/statuts.html	(from https://caacongo.com/membres.html)
11:07:53	116570/116570	---M--	200	added ('OK')	image/jpeg	etag:%221c75a-594520ec55add%22	https://caacongo.com/images/room-3.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-3.jpg	(from https://caacongo.com/membres.html)
11:07:59	83421/83421	---M--	200	added ('OK')	image/jpeg	etag:%22145dd-594520e896b54%22	https://caacongo.com/images/room-4.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-4.jpg	(from https://caacongo.com/membres.html)
11:07:59	16330/16330	---M-Z	200	added ('OK')	text/html	etag:%223fca-5bdd137918dc6-gzip%22	https://caacongo.com/cumuler.html	D:/Mes%20Projets/web/caa/caacongo.com/cumuler.html	(from https://caacongo.com/membres.html)
11:08:05	16674/16674	---M-Z	200	added ('OK')	text/html	etag:%224122-5bdd137c7dfd5-gzip%22	https://caacongo.com/redeem.html	D:/Mes%20Projets/web/caa/caacongo.com/redeem.html	(from https://caacongo.com/membres.html)
